DateTime,GPS_Lat,GPS_Long,Depth_m,Temp_C,GPS_FixQuality,GPS_n_Sat,GPS_HDoP,GPS_Altitude,GPS_T_TMG,GPS_M_TMG,GPS_SOG_N,GPS_SOG_K,GPS_MagVar
2025-08-18 14:40:15,43.0178500,-87.9036667,3.29,23.33,,,,,183.50,,0.20,,-3.10
2025-08-18 14:40:16,43.0178500,-87.9036667,3.29,23.32,,,,,354.10,,0.20,,-3.10
2025-08-18 14:40:17,43.0178500,-87.9036667,3.29,23.32,,,,,343.20,,0.00,,-3.10
2025-08-18 14:40:18,43.0178500,-87.9036667,3.29,23.32,,,,,277.20,,0.20,,-3.10
2025-08-18 14:40:19,43.0178500,-87.9036667,3.29,23.31,,,,,184.40,,0.00,,-3.10
2025-08-18 14:40:20,43.0178500,-87.9036667,3.29,23.31,,,,,173.50,,0.20,,-3.10
2025-08-18 14:40:21,43.0178500,-87.9036667,3.29,23.31,,,,,305.40,,0.20,,-3.10
2025-08-18 14:40:22,43.0178500,-87.9036667,3.29,23.32,,,,,340.80,,0.00,,-3.10
2025-08-18 14:40:23,43.0178500,-87.9036833,3.29,23.32,,,,,13.00,,0.20,,-3.10
2025-08-18 14:40:24,43.0178500,-87.9036833,3.29,23.32,,,,,181.30,,0.20,,-3.10
2025-08-18 14:40:25,43.0178500,-87.9036833,3.29,23.32,,,,,189.60,,0.20,,-3.10
2025-08-18 14:40:26,43.0178500,-87.9036833,3.29,23.32,,,,,146.40,,0.40,,-3.10
2025-08-18 14:40:27,43.0178500,-87.9036833,3.29,23.32,,,,,357.30,,0.00,,-3.10
2025-08-18 14:40:28,43.0178500,-87.9036833,3.29,23.32,,,,,337.10,,0.20,,-3.10
2025-08-18 14:40:29,43.0178500,-87.9036833,3.29,23.33,,,,,183.70,,0.20,,-3.10
2025-08-18 14:40:30,43.0178500,-87.9036833,3.29,23.32,,,,,169.50,,0.20,,-3.10
2025-08-18 14:40:31,43.0178500,-87.9036833,3.29,23.32,,,,,336.70,,0.40,,-3.10
2025-08-18 14:40:32,43.0178500,-87.9036667,3.29,23.32,,,,,338.70,,0.00,,-3.10
2025-08-18 14:40:33,43.0178500,-87.9036667,3.29,23.32,,,,,347.50,,0.20,,-3.10
2025-08-18 14:40:34,43.0178500,-87.9036833,3.29,23.31,,,,,180.30,,0.20,,-3.10
2025-08-18 14:40:35,43.0178500,-87.9036833,3.29,23.31,,,,,182.30,,0.00,,-3.10
2025-08-18 14:40:36,43.0178500,-87.9036667,3.29,23.31,,,,,177.60,,0.20,,-3.10
2025-08-18 14:40:37,43.0178500,-87.9036667,3.29,23.31,,,,,348.20,,0.20,,-3.10
2025-08-18 14:40:38,43.0178500,-87.9036667,3.29,23.31,,,,,338.90,,0.20,,-3.10
2025-08-18 14:40:39,43.0178500,-87.9036833,3.29,23.31,,,,,165.80,,0.20,,-3.10
2025-08-18 14:40:40,43.0178500,-87.9036833,3.29,23.31,,,,,178.50,,0.00,,-3.10
2025-08-18 14:40:41,43.0178500,-87.9036833,3.29,23.31,,,,,190.10,,0.20,,-3.10
2025-08-18 14:40:42,43.0178500,-87.9036833,3.29,23.32,,,,,349.10,,0.20,,-3.10
2025-08-18 14:40:43,43.0178500,-87.9036833,3.29,23.32,,,,,6.00,,0.60,,-3.10
2025-08-18 14:40:44,43.0178500,-87.9036833,3.29,23.32,,,,,50.10,,0.20,,-3.10
2025-08-18 14:40:45,43.0178500,-87.9036833,3.29,23.32,,,,,169.60,,0.40,,-3.10
2025-08-18 14:40:46,43.0178500,-87.9036833,3.29,23.32,,,,,174.70,,0.40,,-3.10
2025-08-18 14:40:47,43.0178500,-87.9036833,3.29,23.32,,,,,356.10,,0.20,,-3.10
2025-08-18 14:40:48,43.0178500,-87.9036667,3.29,23.32,,,,,353.90,,0.20,,-3.10
2025-08-18 14:40:49,43.0178500,-87.9036667,3.29,23.32,,,,,184.40,,0.40,,-3.10
2025-08-18 14:40:50,43.0178500,-87.9036667,3.29,23.32,,,,,172.90,,0.00,,-3.10
2025-08-18 14:40:51,43.0178500,-87.9036667,3.29,23.33,,,,,156.70,,0.20,,-3.10
2025-08-18 14:40:52,43.0178500,-87.9036667,3.29,23.33,,,,,350.40,,0.20,,-3.10
2025-08-18 14:40:53,43.0178500,-87.9036667,3.29,23.32,,,,,343.90,,0.20,,-3.10
2025-08-18 14:40:54,43.0178500,-87.9036667,3.29,23.32,,,,,159.30,,0.20,,-3.10
2025-08-18 14:40:55,43.0178500,-87.9036667,3.29,23.32,,,,,187.80,,0.00,,-3.10
2025-08-18 14:40:56,43.0178500,-87.9036667,3.29,23.32,,,,,186.20,,0.20,,-3.10
2025-08-18 14:40:57,43.0178500,-87.9036667,3.29,23.31,,,,,8.90,,0.20,,-3.10
2025-08-18 14:40:58,43.0178500,-87.9036667,3.29,23.32,,,,,353.90,,0.20,,-3.10
2025-08-18 14:40:59,43.0178500,-87.9036667,3.29,23.31,,,,,227.90,,0.20,,-3.10
2025-08-18 14:41:00,43.0178500,-87.9036667,3.29,23.32,,,,,197.20,,0.00,,-3.10
2025-08-18 14:41:01,43.0178500,-87.9036667,3.29,23.32,,,,,149.60,,0.20,,-3.10
2025-08-18 14:41:02,43.0178500,-87.9036667,3.29,23.32,,,,,10.90,,0.00,,-3.10
2025-08-18 14:41:03,43.0178500,-87.9036667,3.29,23.32,,,,,24.30,,0.00,,-3.10
2025-08-18 14:41:04,43.0178500,-87.9036667,3.29,23.32,,,,,105.30,,0.20,,-3.10
2025-08-18 14:41:05,43.0178500,-87.9036667,3.29,23.32,,,,,158.30,,0.00,,-3.10
2025-08-18 14:41:06,43.0178500,-87.9036667,3.29,23.32,,,,,160.70,,0.20,,-3.10
2025-08-18 14:41:07,43.0178500,-87.9036667,3.29,23.32,,,,,333.50,,0.20,,-3.10
2025-08-18 14:41:08,43.0178500,-87.9036667,3.29,23.32,,,,,348.20,,0.20,,-3.10
2025-08-18 14:41:09,43.0178500,-87.9036667,3.29,23.33,,,,,325.20,,0.40,,-3.10
2025-08-18 14:41:10,43.0178500,-87.9036667,3.29,23.33,,,,,185.70,,0.20,,-3.10
2025-08-18 14:41:11,43.0178500,-87.9036667,3.29,23.34,,,,,192.50,,0.20,,-3.10
2025-08-18 14:41:12,43.0178500,-87.9036667,3.29,23.33,,,,,335.70,,0.20,,-3.10
2025-08-18 14:41:13,43.0178500,-87.9036667,3.29,23.33,,,,,356.00,,0.20,,-3.10
2025-08-18 14:41:14,43.0178500,-87.9036667,3.29,23.33,,,,,355.10,,0.40,,-3.10
2025-08-18 14:41:15,43.0178500,-87.9036667,3.29,23.32,,,,,179.60,,0.20,,-3.10
2025-08-18 14:41:16,43.0178500,-87.9036667,3.29,23.33,,,,,203.90,,0.20,,-3.10
2025-08-18 14:41:17,43.0178500,-87.9036667,3.29,23.32,,,,,307.90,,0.20,,-3.10
2025-08-18 14:41:18,43.0178500,-87.9036667,3.29,23.32,,,,,11.90,,0.00,,-3.10
2025-08-18 14:41:19,43.0178500,-87.9036667,3.29,23.32,,,,,359.60,,0.20,,-3.10
2025-08-18 14:41:20,43.0178500,-87.9036667,3.29,23.32,,,,,205.90,,0.20,,-3.10
2025-08-18 14:41:21,43.0178500,-87.9036667,3.29,23.32,,,,,187.80,,0.00,,-3.10
2025-08-18 14:41:22,43.0178500,-87.9036667,3.29,23.32,,,,,205.50,,0.20,,-3.10
2025-08-18 14:41:23,43.0178500,-87.9036667,3.29,23.32,,,,,356.00,,0.00,,-3.10
2025-08-18 14:41:24,43.0178500,-87.9036667,3.29,23.32,,,,,353.90,,0.20,,-3.10
2025-08-18 14:41:25,43.0178500,-87.9036667,3.29,23.32,,,,,137.20,,0.20,,-3.10
2025-08-18 14:41:26,43.0178500,-87.9036667,3.29,23.32,,,,,158.40,,0.00,,-3.10
2025-08-18 14:41:27,43.0178500,-87.9036667,3.29,23.33,,,,,227.70,,0.20,,-3.10
2025-08-18 14:41:28,43.0178500,-87.9036667,3.29,23.32,,,,,6.20,,0.00,,-3.10
2025-08-18 14:41:29,43.0178500,-87.9036667,3.29,23.33,,,,,20.00,,0.20,,-3.10
2025-08-18 14:41:30,43.0178500,-87.9036667,3.29,23.33,,,,,174.00,,0.20,,-3.10
2025-08-18 14:41:31,43.0178500,-87.9036667,3.29,23.33,,,,,180.10,,0.00,,-3.10
2025-08-18 14:41:32,43.0178500,-87.9036667,3.29,23.33,,,,,66.50,,0.20,,-3.10
2025-08-18 14:41:33,43.0178500,-87.9036667,3.29,23.33,,,,,6.60,,0.00,,-3.10
